date,open,high,low,close,Adj Close,volume,trade_count,vwap
2023-01-26 15:23:00+00:00,0.4096,0.4096,0.4062,0.4062,0.4062,1000.0,2.0,0.40722
2023-01-26 15:25:00+00:00,0.4065,0.4065,0.4065,0.4065,0.4065,101.0,2.0,0.4065
2023-01-26 15:26:00+00:00,0.41,0.41,0.4099,0.4099,0.4099,800.0,7.0,0.409938
2023-01-26 15:27:00+00:00,0.4073,0.41,0.4073,0.41,0.41,10900.0,7.0,0.409777
2023-01-26 15:28:00+00:00,0.41,0.4101,0.407,0.4101,0.4101,1400.0,6.0,0.408307
2023-01-26 15:29:00+00:00,0.4105,0.414299,0.4105,0.414299,0.414299,6596.0,9.0,0.410673
2023-01-26 15:30:00+00:00,0.4186,0.4435,0.4186,0.4339,0.4339,16232.0,28.0,0.43297
2023-01-26 15:31:00+00:00,0.435001,0.44,0.43,0.4399,0.4399,6700.0,11.0,0.434811
2023-01-26 15:32:00+00:00,0.4399,0.4399,0.4278,0.432,0.432,9447.0,12.0,0.432451
2023-01-26 15:33:00+00:00,0.435661,0.435661,0.435661,0.435661,0.435661,350.0,2.0,0.435795
2023-01-26 15:34:00+00:00,0.4334,0.4367,0.4334,0.4367,0.4367,576.0,5.0,0.434342
2023-01-26 15:35:00+00:00,0.4333,0.4365,0.4165,0.4188,0.4188,15235.0,26.0,0.431961
2023-01-26 15:36:00+00:00,0.422,0.436,0.422,0.4263,0.4263,10994.0,9.0,0.43271
2023-01-26 15:37:00+00:00,0.4288,0.435,0.4288,0.435,0.435,9909.0,4.0,0.434687
2023-01-26 15:38:00+00:00,0.435,0.435,0.429999,0.430001,0.430001,31858.0,16.0,0.434596
2023-01-26 15:39:00+00:00,0.43,0.432499,0.43,0.432499,0.432499,4100.0,6.0,0.430305
2023-01-26 15:40:00+00:00,0.4349,0.4349,0.42501,0.42501,0.42501,12075.0,4.0,0.433602
2023-01-26 15:42:00+00:00,0.4328,0.4328,0.4328,0.4328,0.4328,1415.0,2.0,0.432783
2023-01-26 15:45:00+00:00,0.427549,0.427549,0.427549,0.427549,0.427549,250.0,1.0,0.427549
2023-01-26 15:49:00+00:00,0.429999,0.429999,0.429999,0.429999,0.429999,1000.0,1.0,0.429999
2023-01-26 15:52:00+00:00,0.425,0.425,0.425,0.425,0.425,550.0,2.0,0.425445
2023-01-26 15:53:00+00:00,0.425776,0.425776,0.425776,0.425776,0.425776,300.0,1.0,0.425776
2023-01-26 15:54:00+00:00,0.43,0.43,0.43,0.43,0.43,1400.0,4.0,0.430032
2023-01-26 15:55:00+00:00,0.4283,0.430899,0.4283,0.4299,0.4299,2193.0,4.0,0.428683
2023-01-26 15:56:00+00:00,0.4299,0.4299,0.4299,0.4299,0.4299,1001.0,2.0,0.429895
2023-01-26 15:57:00+00:00,0.425001,0.425001,0.425001,0.425001,0.425001,1000.0,1.0,0.425001
2023-01-26 15:58:00+00:00,0.4251,0.4251,0.4251,0.4251,0.4251,150.0,1.0,0.4251
2023-01-26 16:01:00+00:00,0.4251,0.4299,0.420001,0.4299,0.4299,20209.0,10.0,0.422853
2023-01-26 16:02:00+00:00,0.4299,0.431,0.4299,0.4309,0.4309,9900.0,5.0,0.430741
2023-01-26 16:03:00+00:00,0.431,0.431,0.431,0.431,0.431,350.0,1.0,0.431
2023-01-26 16:07:00+00:00,0.4265,0.431,0.4265,0.431,0.431,915.0,2.0,0.430508
2023-01-26 16:09:00+00:00,0.430999,0.430999,0.430999,0.430999,0.430999,5000.0,1.0,0.430999
2023-01-26 16:10:00+00:00,0.430978,0.431,0.430978,0.430978,0.430978,5500.0,3.0,0.43098
2023-01-26 16:11:00+00:00,0.431,0.433,0.431,0.433,0.433,1225.0,10.0,0.431408
2023-01-26 16:12:00+00:00,0.4312,0.433601,0.4292,0.4292,0.4292,3984.0,7.0,0.432454
2023-01-26 16:13:00+00:00,0.431549,0.431549,0.431549,0.431549,0.431549,1000.0,1.0,0.431549
2023-01-26 16:14:00+00:00,0.431551,0.431551,0.431551,0.431551,0.431551,2000.0,1.0,0.431551
2023-01-26 16:19:00+00:00,0.434,0.434,0.434,0.434,0.434,2775.0,4.0,0.433997
2023-01-26 16:23:00+00:00,0.437,0.437,0.4367,0.4367,0.4367,428.0,6.0,0.436675
2023-01-26 16:24:00+00:00,0.437,0.4481,0.437,0.448,0.448,39846.0,36.0,0.445831
2023-01-26 16:25:00+00:00,0.44,0.44,0.44,0.44,0.44,500.0,1.0,0.44
2023-01-26 16:26:00+00:00,0.4478,0.4478,0.4478,0.4478,0.4478,2000.0,4.0,0.4478
2023-01-26 16:27:00+00:00,0.4477,0.4477,0.4426,0.442701,0.442701,12800.0,15.0,0.444238
2023-01-26 16:28:00+00:00,0.4426,0.444001,0.441001,0.444001,0.444001,5000.0,7.0,0.442091
2023-01-26 16:29:00+00:00,0.441001,0.444001,0.441,0.444001,0.444001,4500.0,5.0,0.442023
2023-01-26 16:30:00+00:00,0.441,0.4481,0.441,0.4481,0.4481,13533.0,17.0,0.44563
2023-01-26 16:31:00+00:00,0.4411,0.4443,0.441,0.441,0.441,558.0,3.0,0.442094
2023-01-26 16:33:00+00:00,0.45,0.45,0.45,0.45,0.45,6000.0,6.0,0.45
2023-01-26 16:34:00+00:00,0.44565,0.44565,0.44565,0.44565,0.44565,218.0,2.0,0.445834
2023-01-26 16:35:00+00:00,0.4455,0.4455,0.445,0.445,0.445,1000.0,2.0,0.44545
2023-01-26 16:36:00+00:00,0.445,0.445,0.445,0.445,0.445,310.0,2.0,0.445016
2023-01-26 16:37:00+00:00,0.4455,0.4456,0.4455,0.4455,0.4455,600.0,4.0,0.44555
2023-01-26 16:38:00+00:00,0.4497,0.45,0.4497,0.45,0.45,27236.0,41.0,0.449919
2023-01-26 16:40:00+00:00,0.449,0.449,0.449,0.449,0.449,850.0,3.0,0.449041
2023-01-26 16:41:00+00:00,0.4447,0.4447,0.4447,0.4447,0.4447,500.0,1.0,0.4447
2023-01-26 16:42:00+00:00,0.4499,0.4499,0.4499,0.4499,0.4499,100.0,1.0,0.4499
2023-01-26 16:43:00+00:00,0.4414,0.455,0.4414,0.4549,0.4549,25900.0,64.0,0.453634
2023-01-26 16:44:00+00:00,0.455,0.46,0.447599,0.46,0.46,129143.0,73.0,0.454294
2023-01-26 16:45:00+00:00,0.4799,0.49,0.4641,0.4762,0.4762,182194.0,96.0,0.480507
2023-01-26 16:46:00+00:00,0.4719,0.4978,0.47,0.493,0.493,268230.0,152.0,0.486516
2023-01-26 16:47:00+00:00,0.482,0.4837,0.4638,0.4638,0.4638,63836.0,120.0,0.474731
2023-01-26 16:48:00+00:00,0.4658,0.485001,0.4638,0.4799,0.4799,110710.0,41.0,0.475083
2023-01-26 16:49:00+00:00,0.48,0.48,0.46,0.465,0.465,41581.0,21.0,0.468651
2023-01-26 16:50:00+00:00,0.460001,0.47899,0.452568,0.4695,0.4695,107090.0,83.0,0.46186
2023-01-26 16:51:00+00:00,0.478899,0.49,0.46,0.4799,0.4799,65296.0,53.0,0.473858
2023-01-26 16:52:00+00:00,0.4752,0.4789,0.4628,0.47495,0.47495,15786.0,21.0,0.471804
2023-01-26 16:53:00+00:00,0.480999,0.480999,0.4628,0.47,0.47,57183.0,47.0,0.472297
2023-01-26 16:54:00+00:00,0.4699,0.4797,0.464,0.4701,0.4701,62436.0,43.0,0.473496
2023-01-26 16:55:00+00:00,0.4651,0.4797,0.465,0.472,0.472,15295.0,7.0,0.471145
2023-01-26 16:56:00+00:00,0.4759,0.4759,0.465,0.4688,0.4688,34077.0,17.0,0.468451
2023-01-26 16:57:00+00:00,0.467,0.4757,0.467,0.47,0.47,4595.0,8.0,0.4681
2023-01-26 16:58:00+00:00,0.47,0.4759,0.47,0.4701,0.4701,18941.0,17.0,0.472171
2023-01-26 16:59:00+00:00,0.4756,0.4756,0.469551,0.47,0.47,32713.0,26.0,0.470277
2023-01-26 17:00:00+00:00,0.475,0.4751,0.47,0.47,0.47,11212.0,9.0,0.474746
2023-01-26 17:01:00+00:00,0.47,0.4749,0.47,0.4736,0.4736,11443.0,16.0,0.473497
2023-01-26 17:02:00+00:00,0.4735,0.4759,0.4701,0.4729,0.4729,19865.0,50.0,0.473565
2023-01-26 17:03:00+00:00,0.4758,0.4759,0.472,0.4741,0.4741,7300.0,14.0,0.474426
2023-01-26 17:04:00+00:00,0.474101,0.49,0.474101,0.49,0.49,59172.0,55.0,0.483614
2023-01-26 17:05:00+00:00,0.4825,0.49,0.475,0.4886,0.4886,29796.0,57.0,0.487178
2023-01-26 17:06:00+00:00,0.4886,0.4886,0.475,0.482575,0.482575,13765.0,7.0,0.485763
2023-01-26 17:07:00+00:00,0.4842,0.52,0.4841,0.5,0.5,103332.0,95.0,0.502139
2023-01-26 17:08:00+00:00,0.511036,0.52,0.4937,0.4937,0.4937,96176.0,58.0,0.502613
2023-01-26 17:09:00+00:00,0.485,0.5,0.48,0.499799,0.499799,23766.0,26.0,0.494572
2023-01-26 17:10:00+00:00,0.4998,0.4999,0.4751,0.49,0.49,79831.0,28.0,0.483272
2023-01-26 17:11:00+00:00,0.4901,0.4998,0.485,0.49,0.49,8454.0,18.0,0.492114
2023-01-26 17:12:00+00:00,0.485,0.51,0.485,0.499778,0.499778,89091.0,82.0,0.5022
2023-01-26 17:13:00+00:00,0.5099,0.5099,0.492,0.492,0.492,27070.0,35.0,0.502031
2023-01-26 17:14:00+00:00,0.495,0.4997,0.49,0.4942,0.4942,41444.0,25.0,0.498085
2023-01-26 17:15:00+00:00,0.492,0.5,0.492,0.493844,0.493844,15968.0,26.0,0.494845
2023-01-26 17:16:00+00:00,0.5,0.5382,0.492,0.525,0.525,153956.0,198.0,0.518551
2023-01-26 17:17:00+00:00,0.519101,0.5279,0.51,0.5161,0.5161,79359.0,94.0,0.51835
2023-01-26 17:18:00+00:00,0.512,0.52,0.512,0.515401,0.515401,39495.0,63.0,0.517523
2023-01-26 17:19:00+00:00,0.5199,0.52,0.5,0.5,0.5,101114.0,64.0,0.516175
2023-01-26 17:20:00+00:00,0.5095,0.515,0.4976,0.5011,0.5011,34568.0,29.0,0.506948
2023-01-26 17:21:00+00:00,0.5011,0.51,0.501,0.5051,0.5051,13688.0,23.0,0.501681
2023-01-26 17:22:00+00:00,0.5013,0.5078,0.5013,0.5021,0.5021,17603.0,30.0,0.503629
2023-01-26 17:23:00+00:00,0.5099,0.5162,0.5077,0.5139,0.5139,25672.0,28.0,0.510276
2023-01-26 17:24:00+00:00,0.5115,0.5115,0.5014,0.504651,0.504651,12292.0,22.0,0.505102
2023-01-26 17:25:00+00:00,0.503,0.52972,0.502,0.51982,0.51982,77717.0,49.0,0.520326
2023-01-26 17:26:00+00:00,0.512499,0.5156,0.51,0.5125,0.5125,7865.0,26.0,0.512093
2023-01-26 17:27:00+00:00,0.51067,0.5148,0.5099,0.514799,0.514799,4010.0,11.0,0.512697
2023-01-26 17:28:00+00:00,0.514,0.514,0.513,0.5137,0.5137,12320.0,17.0,0.513371
2023-01-26 17:29:00+00:00,0.5125,0.5125,0.5051,0.507451,0.507451,9088.0,13.0,0.508095
2023-01-26 17:30:00+00:00,0.5051,0.5051,0.505,0.505,0.505,8343.0,8.0,0.505003
2023-01-26 17:31:00+00:00,0.5099,0.5099,0.505,0.505,0.505,13250.0,4.0,0.50537
2023-01-26 17:32:00+00:00,0.509799,0.509799,0.505,0.505,0.505,18814.0,14.0,0.506749
2023-01-26 17:33:00+00:00,0.5051,0.5096,0.5051,0.5096,0.5096,5105.0,4.0,0.505189
2023-01-26 17:34:00+00:00,0.5096,0.5183,0.507449,0.5129,0.5129,18426.0,21.0,0.51101
2023-01-26 17:35:00+00:00,0.52,0.54,0.52,0.53,0.53,72861.0,74.0,0.530673
2023-01-26 17:36:00+00:00,0.53,0.5499,0.5219,0.5499,0.5499,65579.0,105.0,0.535928
2023-01-26 17:37:00+00:00,0.5461,0.59,0.545,0.5699,0.5699,221512.0,270.0,0.558037
2023-01-26 17:38:00+00:00,0.5699,0.58,0.55,0.56,0.56,226288.0,241.0,0.56514
2023-01-26 17:39:00+00:00,0.5787,0.6046,0.556201,0.596301,0.596301,393566.0,306.0,0.58801
2023-01-26 17:40:00+00:00,0.5962,0.6,0.59,0.5915,0.5915,196355.0,213.0,0.596406
2023-01-26 17:41:00+00:00,0.5992,0.5992,0.56,0.56,0.56,173013.0,171.0,0.576709
2023-01-26 17:42:00+00:00,0.57,0.5773,0.56,0.5701,0.5701,62916.0,102.0,0.567322
2023-01-26 17:43:00+00:00,0.5744,0.5801,0.57,0.58,0.58,67260.0,72.0,0.575678
2023-01-26 17:44:00+00:00,0.5712,0.58,0.56,0.5601,0.5601,82150.0,93.0,0.569588
2023-01-26 17:45:00+00:00,0.5699,0.5699,0.54,0.54,0.54,108432.0,112.0,0.553865
2023-01-26 17:46:00+00:00,0.54,0.55,0.5335,0.5335,0.5335,84592.0,94.0,0.543255
2023-01-26 17:47:00+00:00,0.5335,0.5406,0.5335,0.5406,0.5406,85349.0,113.0,0.537078
2023-01-26 17:48:00+00:00,0.54,0.5483,0.54,0.5407,0.5407,35820.0,27.0,0.541195
2023-01-26 17:49:00+00:00,0.5453,0.56,0.54,0.55,0.55,39966.0,36.0,0.552988
2023-01-26 17:50:00+00:00,0.5501,0.6,0.549,0.59,0.59,140933.0,128.0,0.581455
2023-01-26 17:51:00+00:00,0.5755,0.59,0.5702,0.5861,0.5861,164725.0,103.0,0.586145
2023-01-26 17:52:00+00:00,0.5859,0.5879,0.5626,0.565,0.565,71750.0,56.0,0.575173
2023-01-26 17:53:00+00:00,0.5643,0.575,0.56,0.57,0.57,27883.0,49.0,0.56902
2023-01-26 17:54:00+00:00,0.57,0.57,0.56,0.5625,0.5625,33364.0,36.0,0.563132
2023-01-26 17:55:00+00:00,0.5625,0.5899,0.561,0.5899,0.5899,190374.0,146.0,0.580702
2023-01-26 17:56:00+00:00,0.5899,0.61,0.5706,0.6049,0.6049,417466.0,342.0,0.596644
2023-01-26 17:57:00+00:00,0.6049,0.624,0.5826,0.62,0.62,313402.0,325.0,0.608592
2023-01-26 17:58:00+00:00,0.62,0.63,0.6002,0.6204,0.6204,243851.0,203.0,0.621893
2023-01-26 17:59:00+00:00,0.6299,0.64,0.62,0.6298,0.6298,192663.0,218.0,0.629691
2023-01-26 18:00:00+00:00,0.625399,0.6297,0.6032,0.6101,0.6101,60046.0,86.0,0.613634
2023-01-26 18:01:00+00:00,0.615049,0.66,0.6101,0.66,0.66,226887.0,220.0,0.631607
2023-01-26 18:02:00+00:00,0.659,0.66,0.64,0.65,0.65,120064.0,144.0,0.653695
2023-01-26 18:03:00+00:00,0.65,0.650756,0.6262,0.640948,0.640948,189558.0,225.0,0.639427
2023-01-26 18:04:00+00:00,0.6401,0.65,0.632,0.6479,0.6479,49951.0,109.0,0.641513
2023-01-26 18:05:00+00:00,0.6479,0.648,0.632,0.632,0.632,55104.0,94.0,0.640041
2023-01-26 18:06:00+00:00,0.64,0.66,0.632001,0.65,0.65,83408.0,79.0,0.652464
2023-01-26 18:07:00+00:00,0.657042,0.68,0.643101,0.67,0.67,130975.0,222.0,0.662602
2023-01-26 18:08:00+00:00,0.665101,0.6968,0.6617,0.6894,0.6894,247567.0,361.0,0.678466
2023-01-26 18:09:00+00:00,0.6894,0.7,0.6759,0.6984,0.6984,323285.0,320.0,0.69102
